Category,Quote
dreams,court dream people knew price one worth paying dream bastard- born warrior illyrian half breed monster trapped beautiful body dreamer born court nightmare huntress artist's soul
heartbreak,love love good dead yet make take back walk away every time pas without smiling without touching hand least making eye contact feel like dying inside
compatibility,toast butter
college-romance,smiled eye started drift downward cather back eye know i'm falling love right
breakup,like wine love could neither mature travel
love,contemplation enthusiasm ambition strong coffee could looked forever
courage,could refrain heart love heart courage make love known
devotion,heart think devotiongreater shore ocean-holding curve one position counting endless repetition
abuse,even stop cry even fall asleep i'm nestled arm leave another scar one see one know eventually scar scar that's i'll be--one big scar love gone wrong
friendship,long love serve long loved others would almost say indispensable man useless friend
love,love striking example little reality mean u
being-single,hope love pray love wish love dream love put life hold waiting love
husbands,illusion ' said 'i knew silly frivolous empty-headed loved knew aim ideal vulgar commonplace loved knew second-rate loved comic think hard tried amused thing amused anxious hide ignorant vulgar scandal-mongering stupid knew frightened intelligence everything could make think big fool rest men knew knew married convenience loved much care people far see they're love someone love returned feel grievance grow angry bitter like never expected love see reason never thought lovable thankful allowed love enraptured thought pleased noticed eye gleam good-humored affection tried bore love knew afford always lookout first sign impatient affection husband expect right prepared receive favor
betrayal,believe man truly love woman constantly betray never mind physically betray mind poetry soul well easy men time
love,love say ' whispered 'make peace
love,love habit commitment debt romantic song tell u - love simply
boys,boy meet love dog
emotional,hug tightly imagine life without christian love much frightens e ehe breathes life would empty without love much
courage,unaccustomed courageexiles delightlive coiled shell lonelinessuntil love leaf high holy templeand come sightto liberate u life love arrivesand train come ecstasiesold memory pleasureancient history pain yet bold love strike away chain fearfrom soul weaned timidityin flush love's lightwe dare braveand suddenly seethat love cost areand ever yet lovewhich set u free
lonely,absence make heart grow fonder sure make rest lonely
dystopia,hate look like everybody else smile
fire,mad magic there's lie fire
four-and-tris,think still person sharp enough sharpen someone like
beauty,war butterfly still beautiful
love,mean surprising really love something always love way like part good
definitions,tear word heart can't express
estella,unqualified truth loved estella love man loved simply found irresistible knew sorrow often often always loved reason promise peace hope happiness discouragement could love none le knew influence restraining devoutly believed human perfection
drug,genuine love rarely emotional space need instantly gratified know love invest time commitment 'dreaming love save u solve problem provide steady state bliss security keep u stuck wishful fantasy undermining real power love -- transform u ' many people want love function like drug giving immediate sustained high want nothing passively receive good feeling
love,glad love happy world like odds everything people love often become edgy dangerous lose sense perspective lose sense humor become nervous psychotic bore even become killer
khalid,shazi prefer color blue scent lilac hair source constant torment despise fig lastly never forget day life memory last night nothing sun rain even brightest star darkest sky could begin compare wonder khalid
love,think truly mad someone really love
life,wanting come back anyone notice part world moved since left
love,wanted tell everything maybe i'd able could lived differently maybe i'd instead maybe i'd said 'i'm afraid losing something love refuse love anything ' maybe would made impossible possible maybe buried much deeply inside instead
logic,love illogical love consequences--i able take
desire,ultimately desire desired love
chaplin,naked body belong fall love naked soul
love,would love saythat youmake meweak kneesbutto quite upfrontand completelytruthfulyoumake bodyforgetit kneesat
abundance,plant seed happiness hope success love come back abundance law nature
elizabeth-bennett,tolerable handsome enough tempt humor present give consequence young lady slighted men
attraction,love must entreat ' added 'or demand love must strength become certain within cease merely attracted begin attract
love,falling love remain child rising love mature love becomes relationship becomes state love - love
love,wish boyfriend wish lived wardrobe coat hanger whenever wanted could get he'd look way boy film i'm beautiful
children,remember said really place heart even know exist love child
bisexuality,last night seriously considering whether bisexual think though sure like argh think anything wrong like person like person genitals
friendship,say something ''go on''i'm little drunk''me that's okay ''just missed know ''i missed ''but much dexter many thing wanted talk there-''same ''i tell see thought every day mean every day way another-''same ''-even wish dexter could see where's dexter christ dexter idiot know mean seeing today well thought i'd got back - best friend wedding baby- i'm happy dex feel like i've lost '--'you know happens family responsibility change lose touch people''it like promise ''do ''absolutely''you swear disappearing ''i 'their lip touched mouth pursed tight eye open stock still moment held kind glorious confusion
love,every life one true love snapshot
death,sweet sweet
lost,half closed eye imagined spot everything i'd ever lost since childhood washed standing front waited long enough tiny figure would appear horizon across field gradually get larger i'd see tommy he'd wave maybe even call
heartbreak,missing peice aching gut wrenching emptiness begin take find link completes soul feeling never go away people find way fill void material possession string relationship affair food bare soul word see
life,ah love let u true one another world seems lie u like land dream various beautiful new hath really neither joy love light certitude peace help pain darkling plain swept confused alarm struggle flight ignorant army clash night
couples,greater thing two human soul feel joined life--to strengthen labor rest sorrow minister pain one silent unspeakable memory moment last parting
bhie,simply ignored feeling would never know might happen many way worse finding first place wrong could go forward life without ever looking back shoulder wondering might
desire,love must need desire let desire melt like running brook sings melody night know pain much tenderness wounded understanding love bleed willingly joyfully wake dawn winged heart give thanks another day loving rest noon hour meditate love's ecstasy return home eventide gratitude sleep prayer beloved heart song praise lip
body,head explode continue escapism
love,oh lover careful dangerous first day brought breakfast bed bring forever unless want accused lovelessness betrayal
breaking-up,two word three vowel four constenants seven letter either cut open core leave ungodly pain free soul lift tremendous weight shoulder phrase
love,many different type kiss passionate kiss farewell like kind rhett gave scarlett went war kiss i-can t-really-be-with-you-but-i-want-to-be like superman lois lane first kiss one gentle hesitant warm vulnerable kiss possession ren kissed went beyond passion beyond desire kiss full longing need love like kiss also filled promise pledge seemed sweet tender others seemed dangerous exciting taking staking claim seized boldly tiger captured prey escape want would happily died clutch made sure knew heart burst thousand beautiful bloom tiger lily knew certainty powerful anything ever felt belonged together
hurt,everyone always want know tell true love answer pain fade scar heal damned late
geisha,woman think world thought
love,suffer love love still die love live
freedom,beauty idea freedom illusion every human heart chained love
compassion,long man continues ruthless destroyer lower living being never know health peace long men massacre animal kill indeed sow seed murder pain cannot reap joy love
calling,telephone i'll never telephone long live he'll rot hell i'll call give strength god wanted could get know know i'm waiting he's sure sure wonder hate soon sure
literature,sometimes two people fall apart realize much need fall back together
love,people always say love someone nothing world matter that's true know know love someone everything world matter little bit
freedom,freely servebecause freely love willto love stand fall
love,jane little darling call know talking misjudge mad hate mad think hate indeed sir mistaken know nothing nothing sort love capable every atom flesh dear pain sickness would still dear mind treasure broken would treasure still raved arm confine strait waistcoat--your grasp even fury would charm flew wildly woman morning receive embrace least fond would restrictive shrink disgust quiet moment watcher nurse could hang untiring tenderness though gave smile return never weary gazing eye though longer ray recognition
love,find somebody love way love even weakness flaw everything start click place talk listens make laugh make think make want make see really better better crazy want spend rest life carter maguire
emotion,one frustrating word human language far could tell love much meaning attached one little word people bandied freely using todescribe attachment possession pet vacation destination favorite food thesame breath applied word person considered important theirlives insulting term describe deeper emotion
love,can't human can't lose suppose could really love somebody absolutely nobody without really want somebody like somebody fall apart walk door neither turning whole life whole life girl mean little give away hand mean can't value value
katniss,miss hate alone
learn,come love finding perfect person learning see imperfect person perfectly
desire,got heart's desire trouble began
love,dead alive weeping laughing power love came became fierce like lion tender like evening star
friendship,relationship trust equality one person share person share
inspirational,life gift forget live
community,world empty one think mountain river city know someone think feel u though distant close u spirit make earth u inhabited garden
love,albert camus wrote serious question whether kill tom robbins wrote serious question whether time beginning end camus clearly got wrong side bed robbins must forgotten set alarm one serious question know make love stay answer tell whether kill
love,night kissed left poem mouth hear line every time breathe
fight,cassia know life real one matter happens one reason knowing even one person know story make thing different maybe like poem say maybe way going gentle love ky markham
love,love love that's let go must know love never run
love,world heart like world love like mine
humor,always stubborn blind obtuse girl calling stupid yes poetic way well poem get lost
love,know love truly timeless
love,want someone fierce love death know love strong death side forever ever want someone destroy destroyed
christianity,acceptance oneself essence whole moral problem epitome whole outlook life feed hungry forgive insult love enemy name christ -- undoubtedly great virtue unto least brother unto christ discover least among poorest beggar impudent offender enemy -- within stand need alms kindness -- enemy must loved -- rule christian's attitude reversed longer question love long-suffering say brother within u raca condemn rage hide world refuse admit ever met least among lowly
love,whole world divided two part one happiness hope light dejection darkness
devotion,even i'm dead i'll swim earth like mermaid soil next bone
love,thought real love relationship invested love long long sex thing could end moment getting almost time tell loving somebody using look like love
love,could ever ashamed loving dante quintana
distraction,loved much anything whole wide world imagine laugh believe intimate upon time can't believe memory intimate somebody intimate could puke can't imagine ever intimate somebody else
inspirational,word never fully say want say fumble stammer break best porcelain best one hope find along way someone share path content walk silence heart commune best try speak
love,know soulmate ebrida felt one important question ever asked life taking risk eshe said brida eby risking failure disappointment disillusion never ceasing search love long keep looking triumph end
love,love come understand three word mumbled bedtime love sustained action pattern devotion thing every day
complaining,always found actively lovingsaves one morbid preoccupationwith shortcoming society
love,one understood even whisper tell person understood even whisper
love,much feeling absorbs much without come nothing
freedom-of-choice,homosexuality limiting heterosexuality ideal capable loving woman man either human without feeling fear restraint obligation
appearances,care 'e look good-looking enough u theenk scar show zat husband brave
contentment,we're golden sunflower inside
hope,hope proving anything choosing believe one thing love bigger grim bleak shit anyone throw u
cold-soul,miss someone weird body function normally miss heart steady soul sings numb finger cold like soul
hate,opposite love hate apathy simply bother person
dimitri,go said thickly let know want start practice thanks talking started turn heard say abruptly glanced back held gaze something warm wonderful powerful shot u repeated told shut mouth jaw hit floor once-in-a-lifetime thing could baby know ghost smile flickered face yes that's say return give wanted took step toward heart somewhere else
bad-fathers,reasonable love people going die said nash thought moment stroking small's neck great deliberation fate dell depended smooth careful movement two response said last first everyone going die second love stupid nothing reason love whomever love reason loved father looked keenly love yes whispered stroked small's nose love said even knowing never love brother ever realized came along can't help love lady know liable cause
god,let tell love silly word believe whether like somebody whether somebody like whether put somebody order get something someplace want believe body responds another body like robin bison maybe believe love force nature luck benign particular maiming killing good love none nothing nature like robin bison banging tail hunting dog blossom suckling foal love divine difficult always think easy fool think natural blind learned application without reason motive except god deserve love regardless suffering endured deserve love somebody wrong deserve love want earn - practice careful contemplation - right express learn accept say earn god practice god think god-carefully good diligent student may secure right show love love gift diploma diploma conferring certain privilege privilege expressing love privilege receiving know graduated know human therefore educable therefore capable learning learn therefore interesting god interested say interested love understand god interested interested love bliss brings understand share interest couple enter sacrament marriage prepared go distance willing get right real love god cannot thrive may cleave together like robin gull anything else mate life eschew mighty course moment judged disposition eternal life cleaving mean thing god bless pure holy amen
bella,saying zsadist stammered even though she'd heard every word glanced back pencil hand turned table flipping spiral notebook new page bent way labored top paper quite ripped sheet free hand shaking held messy bella took paper child's uneven block letter three word love youher lip flattened tight eye stung handwriting got wavy disappeared maybe can't read said small voice shook head read fine beautiful expect anything back mean know feel anymore wanted know important knew
closeness,love often alien u
forgiveness,love like rain nourish drenching couple soaking joy sometimes angry heat life love dry surface must nourish tending root keeping alive
fate,go shall go die shall die buried
love,loved guy would done anything people like love like love like see heart start feel like overcrowded lifeboat throw pride keep afloat self-respect independence start throwing people friend everyone used know still enough lifeboat still sinking know going take seen happen lot people think sick love
love,love make u fool
clary-fray,think everything happened idris-valentine max hodge even sebastian-i kept shoving trying forget catching i'll get help i'll get better promise promise swear angel ducked head kissed cheek hell swear u
clary-fray,jace looked slapped determined believe u love said valentine clary felt blood drain face
inspirational,love person dear human love enemy loved divine love
le-petit-prince,voici mon secret il est très simple ne voit bien qu'avec le cœur l'essentiel est invisible pour le yeux
love,intimacy colour voice even hello esounds like come here'
love,friend mine defined love finding someone talk late night
catholic-author,falling love real used shake head people talked soul mate poor deluded individual grasping supernatural ideal intended mortal sounded pretty poetry book met everything changed cynic become converted sceptic ardent zealot
humor,yet another moral occurs make love good
children,kid require love spend whole time trying correct
forgetting,thing forgotten time even war life-and-death struggle people went like something distant past caught everyday life event past longer orbit around mind many thing think everyday many new thing learn still matter much time pass matter take place interim thing never assign oblivion memory never rub away remain u forever like touchstone
dreams,strange dream get skin give heart test real imaginary
love,better lose pride someone love rather lose someone love useless pride
desire,see lean cheek upon hand glove upon hand might touch cheek
william paul young,submission authority obedience
girls,cut ending revise script man dream girl
confidence,men claim desire driven independent confident woman yet confronted creature reverence often evolves resent like woman men need needed
friends,would rather live one perfect day live life perfect day decent one
eat,bad thing live like little month one's life awful travel time greater ambition find next lovely meal learn speak language higher purpose plea ear hear nap garden patch sunlight middle day right next favourite fountain next day
intimacy,word love ekill resurrect million le second
love,love like breathing take let
love,ought make u feel ashamed talk like know we're talking talk love
hate,hate easy love love take courage
crush,like i'm thirteen he's crush i'm aware entire roomful people he's he's talking
love,love two snowflake alike possible stand tippy-toe walk raindrop
love,love action harsh dreadful thing compared love dream
emotions,everybody home team people call get flat tire something terrible happens people near far know everything wrong love anyways one tell secret get glass water without asking house people cry cry people middle-of-the-night no-matter-what people
inspirational-quotes,love kind see movie hear radio real kind kind get beaten bloody yet perseveres kind hope even hope seems foolish kind forgives kind belief healing kind sit silence feel renewed real kind love rare
denna,known longer smile said true inside circle arm tasted mouth felt warmth something never part cannot touch matter hard might try left still making laugh light shining still long forgotten name
love,come men deal like
eternity,universe big also love paradox example extremely strict rule rule number one nothing last forever family house planet sun absolute rule therefore someone say love never die mean love real everything real dy rule number two everything last forever
consequences,can't hurt way think even could would rather die taste tongue live never touch i'm love mara love matter
chances,i'm guilty giving people chance deserve i'm done i'm done
care,want keep christ christmas feed hungry clothe naked forgive guilty welcome unwanted care ill love enemy unto others would done unto
loneliness,i'm tired living unable love anyone single friend - one worst can't even love can't love can't love anyone else person learns love simple act loving loved someone else understand saying person incapable loving another cannot properly love
love,feeling sink deep heart loneliness help find truth painful shame help live thing sad soul cry
love,ate well cheaply drank well cheaply slept well warm together loved
flirting,stuck babysitting turtle egg volleyball player slash grease monkey slash aquarium volunteer try hit ei hitting ehe protested believe know hitting able stop succumbing charm
love,like someone like spite fault love someone love fault
love,thought perhaps told love feeling would fall away atrophy grown every day love desperately moment ever loved hour love
love,love nothing world well you- strange
love,really think anyone world compare eye
herondales,herondales zachariah's voice breath half laughter half pain almost forgotten family much love feel much guilt carry weight world jace heavy even herondale bear
love,i'm backing really love that's i'm
adoration,important thing important thing ever
happiness,people wait around long love i'm happy lust
love,heart forget tonight must forget warmth gave forget light
love,jumped edge last moment something reached caught midair something define love one thing stop man falling powerful enough negate law gravity
choice,kiss lover dance measure find name buried treasure face life pain pleasure leave path untaken
love,kneeling goddess goddess goddess princess queen soldier pledge service prince grant boon within power man ask sit foot worship ask anything
love,love thicker forgetmore thinner recallmore seldom wave wetmore frequent failit mad moonlyand le shall unbethan sea onlyis deeper sealove le always winless never aliveless bigger least beginless littler forgiveit sane sunlyand cannot diethan sky onlyis higher sky
affection,people touch carelessly every point contact u feel important rush energy relief
love,what's fuck want love
breathe,honestly expect breathe world without air
love,want somebody's crush somebody like want like real think
chasing,two thing never chase true friend true love
disappointment,nobody ever get want come love
betrayal,hurt breathe hurt live hate yet think exist without
feyre,love said stabbed
love,love act finding missing give-and-take made match
attractiveness,girl still admire even afford go store still window-shop right knowing mean covet merchandise
deserve-love,deep heart sure deserved happy believe worthy someone seemed normal
love,one thing fall love another feel someone else fall love feel responsibility toward love
love,someone blush mean 'yes'
love,love fused mingled two being sacred angelic unity secret life discovered far concerned longer anything two boundary destiny longer anything two wing spirit love soar
love,nicest thing could imagine made want baby give kidney
love,something wrong feel right
cute,think define love
hurt,thought gone forever thought walked away everything failed destroyed thing ever mattered waited come
love,thoroughly taught one cannot take pleasure without giving pleasure every gesture every caress every touch every glance every last bit body secret brings happiness person know wake taught celebration love lover part without admiring without conquered conquered neither bleak glutted bad feeling used misused
love,love someone like moving house sonja used say first fall love everything new wonder every morning one's afraid someone suddenly come tumbling door say serious mistake simply meant would live fine year go facade worn wood crack start love house much way perfect way become familiar nook cranny avoid key get stuck lock cold outside floorboard give step exactly open door creak that's little secret make home - fredrik backman man called ove
friendship,beloved friend stranger somehow particular time came distance toward life arrival seemed accidental contingent life unimaginable without similarly identity vision composed certain constellation idea feeling surfaced depth distance within lose would lose
beauty,beauty finding right fit natural fit perfect feel perfect --- avoid trying something goddess that's especially hard change easily -aphrodite
love,let love love back love let hate let feel like control know never
calypso,huh leo said well ever get island want job let know total klutz smirked job eh making thing forge nah could start shop leo said surprising starting machine shop always one dream he'd never told anyone leo calypso's garage auto repair mechanical monster
absence,absence love wind fire extinguishes small inflames great
inspirational,makakapili ka ng lugar na uupuan mo pero hindi mo mapipili ang taong uupo sa puwang sa tabi mo ganyan ang senaryo sa bus ganyan din sa pag-ibig lalong 'di mo kontrolado kung kelan siya bababa
love,hard love woman anything
love,one wanted depict whole thing graphically every episode climax would require three-dimensional rather model every experience unrepeatable make lovemaking reading resemble within time space open different measurable time space
in-love,tonight love yesterday love tomorrow
abe-mazur,take high ground assume already know truth come someone love find anything
affection,equal affection cannot let loving one
dreams,five minute enough dream whole life relative time
love,love wonderful gift present precious word barely begin describe love feeling deepest sweetest incredibly strong amazingly gentle time blessing counted every day nourishment soul devotion constantly letting person know supportive certainty love heart filled affection important person life love looking special someone make world go around absolutely loving see love give meaning one's world magic million hope dream make morning shine brightly season seem like nicest one anyone ever love invaluable bond enriches every good thing life give hug tenderness heart happiness spirit steady lift love invisible connection exquisitely felt know joy feel warmth share sweetness celebrate gift
broken-heart,time forget ever forgive - breaking heart twice
breakup,thought live without youit's gonna hurt heals tooeven though really love youi'm gonna smile cause deserve toquickly i'm learning love againall know i'mma ok
anger,i'm really sure stop loving someone betray think that's make betrayal hurt much - pain frustration anger still loved still
high-school,well music different high school singing love know thing care anymore
alibi,woman love need well besides alibi time husband murder
"julian said. """"i'm just talking.""",love someone become part they're everything they're air breathe water drink blood vein touch stay skin voice stay ear thought stay mind know dream nightmare pierce heart good dream dream think they're perfect know flaw deep-down truth shadow secret frighten away fact love want perfect want want ehe broke
fierce,love like friendship caught fire beginning flame pretty often hot fierce still light flickering love grows older heart mature love becomes coal deep-burning unquenchable
heartache,know hate love point passion unhinges soul
agape,way love last lifetime unconditional truth love determined one loved rather one choosing love
love,problem marriage end every night making love must rebuilt every morning breakfast
best-friend,find guy call beautiful instead hot call back hang stand front cast stone stay awake watch sleep want show world sweat hold hand sick think pretty without makeup one turn friend say ehat e one would bear rejection losing mean losing live kiss screw watch star name one hold rock baby hour sleep marry
love,girlfriend sad quiet keep night worrying
books,someone wrote novel deliver series small astonishment get thing spending hour
cute,sam came around side car stopped dead saw oh god ei used thumb middle finger flick multicolored pom-pom top head language call hat keep ear warm e oh god esam said closed distance u cupped face hand studied horribly cute ehe kissed looked hat kissed vowed never lose pom-pom hat
bond,loved known comforting superficial known loved greatest fear fully known truly loved well lot like loved god need anything liberates u pretense humbles u self-righteousness fortifies u difficulty life throw u
god,love god enable love others even disappoint
issa,brave countered issa rare love beautiful
depression,like grey sky beautiful even though want
double-negatives,never love
love,memory funny thing scene hardly paid mind never stopped think something would make lasting impression certainly never imagined eighteen year later would recall detail give damn scenery day thinking thinking beautiful girl walking next thinking two u together age time life every sight every feeling every thought came back like boomerang worse love love complication scenery last thing mind
devotion,love getting worse
love,oh always ' sighed 'if want men behave well must beastly treat decently make suffer
love,believe love verb noun
love,i'm sorry know loved hard
dogs,dog given u absolute center universe focus love faith trust serve u return scrap without doubt best deal man ever made
inspirational,love mind thought reside heart emotion live soul dream born love
kiss,kiss beach full moon closest thing heaven
fang,except fang glared go try stop dare like old day used wrestle trying get better ready take hand curled fist going say careful fang told stepped closer brushed hair eye i've got back motioned head toward torpedo chamber oh god hit like tsunami perfect one else would ever could ever perfect everything could possibly hope friend boyfriend maybe even would looking really really loved whole new kind love i'd never felt something made every kind love i'd ever felt feel washed wimpy comparison loved every cell body every thought head every feather wing every breathe lung air sac bad going face almost certain death right front everyone threw arm around neck smashed mouth startled second strong arm wrapped around tightly could hardly breathe zomg heard nudge whisper still fang kissed slanting head way get closer could stood kissed happily next millennium angel left still could dark ocean reluctantly ended kiss took step back fang's obsidian eye glittering brightly stoic face look wonder gotta go said quietly half smile quirked mouth yeah hurry back nodded stepped air lock chamber keeping eye fixed memorizing hit switch sealed chamber door hissed shut kind finality realized heart beating hard felt like going start snapping rib scared crazily deeply incredibly joyously terrifyingly love death mission head simply exploded much emotion hit large button pressurized air lock enough door open ocean outside really really hoped would prove somewhat uncrushable like angel door cracked open saw first dark glint frigid water
love,never regret
jodi-lynn-anderson,believe could really gone leave person loved impossible
jaime-lannister,crossed thousand league come lost best part along way tell leave
love,charm equal tenderness heart
kiss,remember audience marco asks celia say remember people look way way might though cannot decide afraid want kiss afraid marco say
listening,many word get lost leave mouth lose courage wandering aimlessly swept gutter like dead leaf rainy day hear chorus rushing past iwasabeautifulgirlpleasedon tgoitoobelievemybodyismadeofglass-i veneverlovedanyoneithinkofmyselfasfunnyforgiveme time uncommon use piece string guide word otherwise might falter way destination shy people carried little bunch string pocket people considered loudmouth le need since used overheard everyone often loss make heard someone physical distance two people using string often small sometimes smaller distance greater need string practice attaching cup end string came much later say related irrepressible urge press shell ear hear still-surviving echo world first expression others say started man held end string unraveled across ocean girl left america world grew bigger enough string keep thing people wanted say disappearing vastness telephone invented sometimes length string long enough say thing need said case string whatever form conduct person silence
betrayal,confession betrayal say matter feeling matter could make stop loving you-that would real betrayal
hurt,really love mean hurt can't see eye hurt
love,lover know know love know love say one think time voice want hear face hope see
coffee,let wake next coffee morning wander city hand mine i'll happy rest fucked little life
happiness,understand point together happiest
an,i'm love i'm business denying simple pleasure saying true thing
bhie,light begin intensify misery wonder possible hurt much nothing wrong
honesty,love honesty love mutual respect one another
love,someone real hear saying someone never pretend never pretend around someone who's smart know laugh someone would listen symphony start cry understands music big word someone know better know someone want talk first thing morning last thing night someone feel like i've known whole life even
cradle,funny i'm enjoying hatred much ever enjoyed love love temperamental tiring make demand love us change mind hatred that's something use sculpt wield hard soft however need love humiliates hatred cradle
love,loving little every minute since morning
humor,could sleeping particular man surely true love could justify lack taste
inspirational,marry rich man marry good man spend life trying keep happy rich man buy
heathcliff,nelly heathcliff - he's always always mind - pleasure always pleasure -
freedom,offered world said
inspirational,right thing wrong tme wrong thing
accepting-love,bored loved capacity love love give accept love tried twice failed twice find somebody strong enough deserve earn match even brave enough accept
lonliness,sometimes sit alone star think galaxy inside heart truly wonder anyone ever want make sense
ficbookreview-s-fave,love rebellious bird nobody tame
i-d-lie,let nobody see wishin' mine
acceptance-of-oneself,learned person ask forgiveness must love forgive everyday whenever remember shortcoming flaw tell that's fine forgive much even see thing anymore that's love like
love,two reason leave someone still love - either right thing thing
love,writer fall love never die
amity,know love love warm
adoration,could convey someone who'd never even met way always smelled like rain stomach knotted every time saw shake loose hair braid could describe felt finished sentence turnec mug sharing mouth landed explain way could locker room underwater piney wood maine bus long em home
love,long time held special place heart kept special place like reserved sign quiet corner table restaurant despite fact sure i'd never see
faith,someday mastering wind wave tide gravity shall harness god energy love second time history world man discovered fire
love,knew also old man thinking tear flowed rieux thought loveless world dead world always come hour one weary prison one's work devotion duty one craves loved face warmth wonder loving heart
khalid,love shade feel
christianity,know hurt much love love strongest force world blocked mean pain two thing happens kill love stop hurting course part u dy ask god open another route love travel
love,love need anything else matter much else
kiss,thought i'd like something remember know ever meet veela whatever 'i think dating opportunity going pretty thin ground honest 'there's silver lining i've looking ' whispered kissing never kissed harry kissing back blissful oblivion better firewhiskey real thing world ginny feel one hand back long sweet-smelling hair
change,people die think relationship continues ever-changing
love,love force capable transforming enemy friend
distance,imagine line white line painted sand ocean
love,held back love receive past love we're extending present
forever,used day thought okay least going we'd hanging somewhere everything would fit right would think 'it okay like forever' course nothing ever stay forever
emptiness,say tear quietness emptiness fitted together like stacked spoon snuffling hollow base lovely throat hard honey-colored shoulder semicircle teethmarks held close long shared night happiness hideous grief broke love law lay loved much
comedian,shut let tell let every time look face even remember wreck way fun shit make fun real enough time day think enough even think woman anymore think
grief,went tattoo parlor yes written onto palm left hand onto right palm say made life wonderful made life possible rub hand middle winter warming friction yes clap hand showing appreciation uniting parting yes signify book peeling open hand every book balance yes even one last one especially one break heart course every moment every day piece heart made never thought quiet much le silent never thought thing everything changed distance wedged happiness world bomb burning building thinking cancer never letting go ignorance bliss know painful think tell thinking ever great place thinking ever bring think think think i've thought happiness one million time never
acceptance,love made three unconditional property equal measure 1 acceptance2 understanding3 appreciationremove one three triangle fall apart way something highly inadvisable think edo really want live world two dimension love triangle please keep love whole
humor,love snowmobile racing across tundra suddenly flip pinning underneath night ice weasel come
love,need thing happens brain shuts heart turn
hurt,stand hanging thing held disappeared passing day
love,needed like i'd never needed anyone
inspirational,every day people straighten hair heart
acceptance,weed unloved flower
hate,stronger lover's love lover's hate incurable wound make
boy,one day fall boy touch finger burn hole skin mouth hurt look hurt feel like someone cut open jagged piece glass
love,think love person much put someone pedestal sudden perspective notice what's wrong - hair place run stocking broken bone spend time energy making right falling apart even realize look like far deteriorated eye someone else
love,never want away except work restroom one u movie want see
love,love good love difficult one human love another perhaps difficult task ultimate last test proof work work preparation love high inducement individual ripen become something become world another's sake great exacting claim upon something chooses call vast thing
atheism,whole image eternal suffering awaits anyone question god's infinite love that's message we're brought believe die thank forgiving lord option
humor,fun last night told patch flicking chin strap handing helmet i'm officially love sheet thing love nope mattress smile crept patch's eye bed's open invitation
adam-parrish,asking define abstract concept one managed explain since time began sort sprang gansey said breathe air love air want suffocate eat want starve know love sleep talk
love,brod's life slow realization world whatever reason would never happy honest time felt brimming always producing hoarding love inside release satisfy idea love--loving loving thing whose existence care love became object love loved love loved loving love love love loving able way reconcile world fell short would hoped world great saving lie willingness make beautiful fair live once-removed life world once-removed one everyone else seemed exist
friend,drew circle shut out-heretic rebel thing flout love wit win drew circle took poem outwitted
broken,find really loved hooked lie detector suspected machine broken
love,truth exist usedlike love youis fact weapon
beauty,i've always loved strong woman lucky twenty-five kind woman blow mind stuff routinely get done would make men curl die woman turn steel keep coming man claim he's strong woman fooling mindless he's strong woman know pout prettily put baby voice end keeping ball makeup bag
friendship-and-love,told story two people two people met like much found two people world could possibly understood
adrian-ivashkov,whatever happened dragon mustered primmest tone name know adrian pulled back gave curious look know actually what'd decide hopper adrian laughed added best rabbit ever he'd proud know name passed yes i'm sure would name mustang think mean ivashkinator stared wonder told loved right yes assured many time
love,i'm married ehe said softly can't stomach idea marrying woman inferior mind spirit would mean death soul
love,remember way make love way god
breakup,yes understand thing happen way understand reason causing pain mere understanding chase away hurt call upon sun dark cloud loomed let rain come must come let wash away dust hurt eye
bridget,must go bound go freemust love manwho love memust born little artas love man who'll break heart
gay,queer people love anybody
faithfulness,whole heart always
charity,love patronizing charity pity love charity love -- charity give love give money reach hand instead
a-farewell-to-arms,darling live i'm
affection,love could wretchedly blind vanity love folly
end,get use someone start like even leave end everyone leaf
love,moon moonlight tooi flower garden water tooi come way eager youwithout shoe shawli want laughto kill worriesto love youto nourish
funny,aside obvious francesca want return supplying information ebones asked getting back subject take eshe replied gonna happen ei spat squeezing possessively three set widened eye fixed realized firm grip longer hand
love,heart want want - else care
life,wisdom knowing nothing love knowing everything two life move
love,love someone even know exist worst thing world fact quite oppostie almost like passing term paper know sucked period time gotten grade back yet -- kind exhale rejected although pretty much know going turn
love,love possible strength actual weakness
circumstance,believe immeasurable power love true love endure circumstance reach across distance
hatred,hatred would easier hatred would known hatred clear metallic one-handed unwavering unlike love
love,want know love ''but child need know love thing people love truth come love one way another see difference love need sometimes feel immediate without rhyme reason ' sat little straighter 'two people see across room skin brush soul recognize person need time figure soul always know whether right wrong
love,put hand door either side head leaned close pinning trembled like downy rabbit caught clutch wolf wolf came closer bent head began nuzzling cheek problem wanted wolf devour
heartbreak,i'm dying know killing like killing story u look lot like tragedy
heartbreak,shattered something inside broken
inspirational,take deep breath allow music flow revel allow awe play allow music break heart beauty
love,man love extraordinary thing care angel angel let go
love,find love take grab hand everything power let go walk away expect linger ready
depression,mother poor fish wanting happy beaten two three time aweek telling happy henry smile ever smile would smile show thesaddest smile ever saw
